Geography,Products and product groups,Apr-17,Mar-18,Apr-18,Percentage change(March 2018 to April 2018),Percentage change(April 2017 to April 2018)
Canada,All-items,130.4,132.9,133.3,0.3,2.2
Canada,Food,142.2,144.2,144.8,0.4,1.8
Canada,Shelter,137.9,140,140.3,0.2,1.7
Canada,"Household operations, furnishings and equipment",122.2,122.9,123.9,0.8,1.4
Canada,Clothing and footwear,94.1,95,96.2,1.3,2.2
Canada,Transportation,133.2,138,139.5,1.1,4.7
Canada,Health and personal care,124.2,126.3,126.2,-0.1,1.6
Canada,"Recreation, education and reading",113.9,116.4,113.7,-2.3,-0.2
Canada,"Alcoholic beverages, tobacco products and recreational cannabis",160.1,166,167.9,1.1,4.9
Canada,All-items excluding food,128.1,130.6,131,0.3,2.3
Canada,All-items excluding food and energy,125.2,127.6,127.5,-0.1,1.8
Canada,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",129.4,131.8,132.1,0.2,2.1
Canada,All-items excluding energy,128.2,130.6,130.6,0,1.9
Canada,All-items excluding gasoline,129,131.2,131.2,0,1.7
Canada,Energy,157.2,161,167.1,3.8,6.3
Canada,Goods,119.5,120.9,122,0.9,2.1
Canada,Durable goods,90.2,90.8,90.6,-0.2,0.4
Canada,Semi-durable goods,96.3,97.5,98.5,1,2.3
Canada,Non-durable goods,143,145,146.9,1.3,2.7
Canada,Services ,141.4,144.9,144.6,-0.2,2.3
Newfoundland and Labrador,All-items,135.6,137.5,137.7,0.1,1.5
Newfoundland and Labrador,Food,143.7,145.6,146.2,0.4,1.7
Newfoundland and Labrador,Shelter,154.8,158.1,159,0.6,2.7
Newfoundland and Labrador,"Household operations, furnishings and equipment",124.8,125,125.9,0.7,0.9
Newfoundland and Labrador,Clothing and footwear,97.1,98.1,98.7,0.6,1.6
Newfoundland and Labrador,Transportation,137.5,139.5,140.9,1,2.5
Newfoundland and Labrador,Health and personal care,119,120.6,120.1,-0.4,0.9
Newfoundland and Labrador,"Recreation, education and reading",111.3,112.6,109.4,-2.8,-1.7
Newfoundland and Labrador,"Alcoholic beverages, tobacco products and recreational cannabis",171.3,179,177.2,-1,3.4
Newfoundland and Labrador,All-items excluding food,133.8,135.7,135.8,0.1,1.5
Newfoundland and Labrador,All-items excluding food and energy,127.9,130.1,129.4,-0.5,1.2
Newfoundland and Labrador,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",134.1,135.9,136.2,0.2,1.6
Newfoundland and Labrador,All-items excluding energy,131.2,133.3,132.9,-0.3,1.3
Newfoundland and Labrador,All-items excluding gasoline,133.8,136.4,136.1,-0.2,1.7
Newfoundland and Labrador,Energy,168.5,168.3,175.1,4,3.9
Newfoundland and Labrador,Goods,127.3,128.4,129.4,0.8,1.6
Newfoundland and Labrador,Durable goods,96.4,97.9,97.3,-0.6,0.9
Newfoundland and Labrador,Semi-durable goods,101.6,101.8,102.1,0.3,0.5
Newfoundland and Labrador,Non-durable goods,148.4,149.5,151.7,1.5,2.2
Newfoundland and Labrador,Services ,148.3,151.4,150.6,-0.5,1.6
Prince Edward Island,All-items,133.2,135.6,136.1,0.4,2.2
Prince Edward Island,Food,146.9,146.2,147.1,0.6,0.1
Prince Edward Island,Shelter,133.7,137.3,138.2,0.7,3.4
Prince Edward Island,"Household operations, furnishings and equipment",129.7,131.1,131.2,0.1,1.2
Prince Edward Island,Clothing and footwear,103.4,103.7,104.8,1.1,1.4
Prince Edward Island,Transportation,131.9,136.7,138.1,1,4.7
Prince Edward Island,Health and personal care,123.7,125.9,125.9,0,1.8
Prince Edward Island,"Recreation, education and reading",117.3,118.3,116.8,-1.3,-0.4
Prince Edward Island,"Alcoholic beverages, tobacco products and recreational cannabis",192.3,199.6,198.9,-0.4,3.4
Prince Edward Island,All-items excluding food,130.4,133.3,133.8,0.4,2.6
Prince Edward Island,All-items excluding food and energy,123.9,125.8,125.7,-0.1,1.5
Prince Edward Island,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",131.1,133.3,133.9,0.5,2.1
Prince Edward Island,All-items excluding energy,128.4,129.9,129.9,0,1.2
Prince Edward Island,All-items excluding gasoline,131.6,133.7,133.9,0.1,1.7
Prince Edward Island,Energy,170.4,182.5,188.4,3.2,10.6
Prince Edward Island,Goods,132.9,135.5,136.5,0.7,2.7
Prince Edward Island,Durable goods,94.8,96.4,95.6,-0.8,0.8
Prince Edward Island,Semi-durable goods,106.9,107,107.5,0.5,0.6
Prince Edward Island,Non-durable goods,154.6,158.5,160.9,1.5,4.1
Prince Edward Island,Services ,133.4,135.5,135.6,0.1,1.6
Nova Scotia,All-items,132,135,135.7,0.5,2.8
Nova Scotia,Food,148.3,148.7,149.4,0.5,0.7
Nova Scotia,Shelter,141.5,144.7,145.1,0.3,2.5
Nova Scotia,"Household operations, furnishings and equipment",121.9,123.3,123.6,0.2,1.4
Nova Scotia,Clothing and footwear,95.8,101,99.5,-1.5,3.9
Nova Scotia,Transportation,126.3,130.3,132.3,1.5,4.8
Nova Scotia,Health and personal care,122.2,122.4,122.5,0.1,0.2
Nova Scotia,"Recreation, education and reading",116.1,121.1,121.7,0.5,4.8
Nova Scotia,"Alcoholic beverages, tobacco products and recreational cannabis",193.3,197.8,199.1,0.7,3
Nova Scotia,All-items excluding food,128.8,132.1,132.8,0.5,3.1
Nova Scotia,All-items excluding food and energy,123.7,126.7,126.7,0,2.4
Nova Scotia,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",129.9,132.9,133.5,0.5,2.8
Nova Scotia,All-items excluding energy,128.3,130.9,131,0.1,2.1
Nova Scotia,All-items excluding gasoline,130.8,133.8,133.9,0.1,2.4
Nova Scotia,Energy,159.7,165.9,172.9,4.2,8.3
Nova Scotia,Goods,127.7,130.4,131.4,0.8,2.9
Nova Scotia,Durable goods,91.6,93.4,93.1,-0.3,1.6
Nova Scotia,Semi-durable goods,100.6,105.1,103.8,-1.2,3.2
Nova Scotia,Non-durable goods,152.1,154.6,157.3,1.7,3.4
Nova Scotia,Services ,137,140.3,140.7,0.3,2.7
New Brunswick,All-items,131.2,133.8,134.1,0.2,2.2
New Brunswick,Food,148.9,150,150.9,0.6,1.3
New Brunswick,Shelter,134.4,136.5,136.6,0.1,1.6
New Brunswick,"Household operations, furnishings and equipment",125.4,127.2,127.8,0.5,1.9
New Brunswick,Clothing and footwear,100.5,103,102.7,-0.3,2.2
New Brunswick,Transportation,127.5,131.3,133.1,1.4,4.4
New Brunswick,Health and personal care,116,117.5,117.7,0.2,1.5
New Brunswick,"Recreation, education and reading",117.6,121,118.6,-2,0.9
New Brunswick,"Alcoholic beverages, tobacco products and recreational cannabis",196.3,204.6,204.9,0.1,4.4
New Brunswick,All-items excluding food,127.6,130.5,130.7,0.2,2.4
New Brunswick,All-items excluding food and energy,123,125.7,125.4,-0.2,2
New Brunswick,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",129.1,131.5,131.9,0.3,2.2
New Brunswick,All-items excluding energy,128,130.4,130.2,-0.2,1.7
New Brunswick,All-items excluding gasoline,130,132.5,132.3,-0.2,1.8
New Brunswick,Energy,154.1,157.8,163.4,3.5,6
New Brunswick,Goods,126.9,128.9,129.8,0.7,2.3
New Brunswick,Durable goods,94.8,96.5,96.2,-0.3,1.5
New Brunswick,Semi-durable goods,100.7,102.8,102.7,-0.1,2
New Brunswick,Non-durable goods,149.4,151.3,153.6,1.5,2.8
New Brunswick,Services ,136.8,140.2,139.8,-0.3,2.2
Quebec,All-items,127,128.7,129.2,0.4,1.7
Quebec,Food,143.4,144.4,144.7,0.2,0.9
Quebec,Shelter,130.8,132.5,132.4,-0.1,1.2
Quebec,"Household operations, furnishings and equipment",121.3,121.3,122.7,1.2,1.2
Quebec,Clothing and footwear,92.9,94.1,96.6,2.7,4
Quebec,Transportation,131.1,135.1,136.9,1.3,4.4
Quebec,Health and personal care,123.9,125,124.7,-0.2,0.6
Quebec,"Recreation, education and reading",102.5,103.5,101.2,-2.2,-1.3
Quebec,"Alcoholic beverages, tobacco products and recreational cannabis",151,154.6,155.4,0.5,2.9
Quebec,All-items excluding food,123.3,125.2,125.7,0.4,1.9
Quebec,All-items excluding food and energy,120.1,121.6,121.7,0.1,1.3
Quebec,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",125.9,127.6,128.1,0.4,1.7
Quebec,All-items excluding energy,124.8,126.2,126.4,0.2,1.3
Quebec,All-items excluding gasoline,125.3,126.8,126.9,0.1,1.3
Quebec,Energy,148.5,154.7,158.9,2.7,7
Quebec,Goods,120.3,121.8,122.8,0.8,2.1
Quebec,Durable goods,90.5,90.5,90.6,0.1,0.1
Quebec,Semi-durable goods,97.7,99.7,101.7,2,4.1
Quebec,Non-durable goods,140.6,142.9,144.1,0.8,2.5
Quebec,Services ,134.6,136.6,136.5,-0.1,1.4
Ontario,All-items,132,134.6,134.8,0.1,2.1
Ontario,Food,143,146,147,0.7,2.8
Ontario,Shelter,140.7,141.9,141.9,0,0.9
Ontario,"Household operations, furnishings and equipment",124.8,125.7,126.2,0.4,1.1
Ontario,Clothing and footwear,90.2,90.5,91.7,1.3,1.7
Ontario,Transportation,134.3,139.3,140.7,1,4.8
Ontario,Health and personal care,126.1,128.7,128.6,-0.1,2
Ontario,"Recreation, education and reading",117.1,120.8,117.5,-2.7,0.3
Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",163.7,171.4,174.6,1.9,6.7
Ontario,All-items excluding food,130.1,132.6,132.7,0.1,2
Ontario,All-items excluding food and energy,127.3,130.1,129.9,-0.2,2
Ontario,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",131.1,133.6,133.7,0.1,2
Ontario,All-items excluding energy,129.9,132.7,132.7,0,2.2
Ontario,All-items excluding gasoline,130.7,133,132.9,-0.1,1.7
Ontario,Energy,165.3,164.1,168.2,2.5,1.8
Ontario,Goods,118.9,119.5,120.4,0.8,1.3
Ontario,Durable goods,87.9,88.5,88.2,-0.3,0.3
Ontario,Semi-durable goods,91.9,92.4,93.4,1.1,1.6
Ontario,Non-durable goods,146.7,147.4,149.2,1.2,1.7
Ontario,Services ,143.9,148.3,147.8,-0.3,2.7
Manitoba,All-items,130.2,133,134,0.8,2.9
Manitoba,Food,140,142.6,143.3,0.5,2.4
Manitoba,Shelter,143.6,147.1,147.4,0.2,2.6
Manitoba,"Household operations, furnishings and equipment",121.9,119.5,122.5,2.5,0.5
Manitoba,Clothing and footwear,91.9,94.4,96.3,2,4.8
Manitoba,Transportation,130.2,135.4,137.7,1.7,5.8
Manitoba,Health and personal care,116.1,119.7,118.9,-0.7,2.4
Manitoba,"Recreation, education and reading",112.8,114.8,113,-1.6,0.2
Manitoba,"Alcoholic beverages, tobacco products and recreational cannabis",177.8,185,184.4,-0.3,3.7
Manitoba,All-items excluding food,128.2,131,132,0.8,3
Manitoba,All-items excluding food and energy,126.7,129.3,129.6,0.2,2.3
Manitoba,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",128.7,131.3,132.3,0.8,2.8
Manitoba,All-items excluding energy,129.2,131.8,132.2,0.3,2.3
Manitoba,All-items excluding gasoline,129.2,131.7,132.1,0.3,2.2
Manitoba,Energy,140.4,144.9,154.5,6.6,10
Manitoba,Goods,117.5,120.2,121.6,1.2,3.5
Manitoba,Durable goods,95.6,97.4,97.2,-0.2,1.7
Manitoba,Semi-durable goods,96,98.6,99.9,1.3,4.1
Manitoba,Non-durable goods,135.7,139.2,141.9,1.9,4.6
Manitoba,Services ,144.6,147.3,147.8,0.3,2.2
Saskatchewan,All-items,134.2,136.8,137.5,0.5,2.5
Saskatchewan,Food,146.7,146.5,147,0.3,0.2
Saskatchewan,Shelter,163.1,166.4,166.8,0.2,2.3
Saskatchewan,"Household operations, furnishings and equipment",112.4,111.8,115,2.9,2.3
Saskatchewan,Clothing and footwear,98.5,103,102,-1,3.6
Saskatchewan,Transportation,126.1,131.4,132.7,1,5.2
Saskatchewan,Health and personal care,123.1,124.5,125.4,0.7,1.9
Saskatchewan,"Recreation, education and reading",114,115.9,113.6,-2,-0.4
Saskatchewan,"Alcoholic beverages, tobacco products and recreational cannabis",173.4,179.8,180.3,0.3,4
Saskatchewan,All-items excluding food,131.9,134.9,135.6,0.5,2.8
Saskatchewan,All-items excluding food and energy,130.7,133.3,133.5,0.2,2.1
Saskatchewan,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",132.9,135.5,136.1,0.4,2.4
Saskatchewan,All-items excluding energy,133.5,135.7,135.9,0.1,1.8
Saskatchewan,All-items excluding gasoline,133.8,136.2,136.4,0.1,1.9
Saskatchewan,Energy,139.9,147.1,152.7,3.8,9.1
Saskatchewan,Goods,119,121.3,122,0.6,2.5
Saskatchewan,Durable goods,94.3,95.9,95.5,-0.4,1.3
Saskatchewan,Semi-durable goods,98.7,102.7,102,-0.7,3.3
Saskatchewan,Non-durable goods,137.9,140.1,142.1,1.4,3
Saskatchewan,Services ,153.5,156.4,157,0.4,2.3
Alberta,All-items,137.4,139.9,140.6,0.5,2.3
Alberta,Food,140.4,143.1,142.7,-0.3,1.6
Alberta,Shelter,164.5,166.6,168.5,1.1,2.4
Alberta,"Household operations, furnishings and equipment",121.3,122,123.4,1.1,1.7
Alberta,Clothing and footwear,96.2,96.8,98,1.2,1.9
Alberta,Transportation,136,141.3,143.2,1.3,5.3
Alberta,Health and personal care,133.2,136.9,136.1,-0.6,2.2
Alberta,"Recreation, education and reading",114.6,114.9,112.8,-1.8,-1.6
Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",163.6,169,169.6,0.4,3.7
Alberta,All-items excluding food,136.9,139.3,140.3,0.7,2.5
Alberta,All-items excluding food and energy,134.9,136.7,136.6,-0.1,1.3
Alberta,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",136.6,139,139.7,0.5,2.3
Alberta,All-items excluding energy,135.9,137.8,137.7,-0.1,1.3
Alberta,All-items excluding gasoline,136.6,138.8,139,0.1,1.8
Alberta,Energy,154.1,164.5,178.9,8.8,16.1
Alberta,Goods,117.5,119.7,121.4,1.4,3.3
Alberta,Durable goods,90.9,91.6,91.6,0,0.8
Alberta,Semi-durable goods,99.1,99.6,100.9,1.3,1.8
Alberta,Non-durable goods,139.9,144,147.4,2.4,5.4
Alberta,Services ,159.4,162.2,161.8,-0.2,1.5
British Columbia,All-items,124.4,127.4,127.7,0.2,2.7
British Columbia,Food,137.1,138.6,139.5,0.6,1.8
British Columbia,Shelter,117.7,121.3,121.9,0.5,3.6
British Columbia,"Household operations, furnishings and equipment",117.8,119.4,120.5,0.9,2.3
British Columbia,Clothing and footwear,105.1,105.8,106.3,0.5,1.1
British Columbia,Transportation,134.1,139.3,139.8,0.4,4.3
British Columbia,Health and personal care,117.8,119.1,119.5,0.3,1.4
British Columbia,"Recreation, education and reading",120.7,123.6,120.5,-2.5,-0.2
British Columbia,"Alcoholic beverages, tobacco products and recreational cannabis",144.1,150.2,153.8,2.4,6.7
British Columbia,All-items excluding food,121.9,125.2,125.3,0.1,2.8
British Columbia,All-items excluding food and energy,118.4,121.4,121.3,-0.1,2.4
British Columbia,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",123.8,126.7,126.9,0.2,2.5
British Columbia,All-items excluding energy,121.7,124.5,124.5,0,2.3
British Columbia,All-items excluding gasoline,122.4,125.1,125.2,0.1,2.3
British Columbia,Energy,162,168.4,174.1,3.4,7.5
British Columbia,Goods,118.5,120,120.8,0.7,1.9
British Columbia,Durable goods,90.1,90.8,90.3,-0.6,0.2
British Columbia,Semi-durable goods,103,103.8,104.2,0.4,1.2
British Columbia,Non-durable goods,138.8,141.1,143.1,1.4,3.1
British Columbia,Services ,129.6,133.8,133.7,-0.1,3.2
"Whitehorse, Yukon",All-items,127.6,130,130.4,0.3,2.2
"Whitehorse, Yukon",Food,132.8,132.1,132,-0.1,-0.6
"Whitehorse, Yukon",Shelter,147.5,152.6,152.9,0.2,3.7
"Whitehorse, Yukon","Household operations, furnishings and equipment",108.5,107.6,109,1.3,0.5
"Whitehorse, Yukon",Clothing and footwear,101.1,100.2,104,3.8,2.9
"Whitehorse, Yukon",Transportation,131.1,134.5,136,1.1,3.7
"Whitehorse, Yukon",Health and personal care,126.5,129.7,128.9,-0.6,1.9
"Whitehorse, Yukon","Recreation, education and reading",100.2,103.6,100.6,-2.9,0.4
"Whitehorse, Yukon","Alcoholic beverages, tobacco products and recreational cannabis",157.4,166.6,171,2.6,8.6
"Whitehorse, Yukon",All-items excluding food,126.5,129.5,129.9,0.3,2.7
"Whitehorse, Yukon",All-items excluding food and energy,123.9,126.4,126.3,-0.1,1.9
"Whitehorse, Yukon","All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",126.4,128.6,128.9,0.2,2
"Whitehorse, Yukon",All-items excluding energy,125.8,127.7,127.6,-0.1,1.4
"Whitehorse, Yukon",All-items excluding gasoline,127,129.6,129.5,-0.1,2
"Whitehorse, Yukon",Energy,146.1,153.8,159.6,3.8,9.2
"Whitehorse, Yukon",Goods,117.4,119.3,120.4,0.9,2.6
"Whitehorse, Yukon",Durable goods,91.4,92.6,91.7,-1,0.3
"Whitehorse, Yukon",Semi-durable goods,98.6,98.1,101,3,2.4
"Whitehorse, Yukon",Non-durable goods,137.8,140.9,142.9,1.4,3.7
"Whitehorse, Yukon",Services ,139.3,142.3,141.9,-0.3,1.9
"Yellowknife, Northwest Territories",All-items,133.5,136,135.9,-0.1,1.8
"Yellowknife, Northwest Territories",Food,142.9,142.4,142.3,-0.1,-0.4
"Yellowknife, Northwest Territories",Shelter,150.3,156.1,156.1,0,3.9
"Yellowknife, Northwest Territories","Household operations, furnishings and equipment",115.9,111.9,114.6,2.4,-1.1
"Yellowknife, Northwest Territories",Clothing and footwear,107.3,108.1,107.3,-0.7,0
"Yellowknife, Northwest Territories",Transportation,129.3,134.4,134.1,-0.2,3.7
"Yellowknife, Northwest Territories",Health and personal care,122.9,124,122.7,-1,-0.2
"Yellowknife, Northwest Territories","Recreation, education and reading",106.3,109.3,106.8,-2.3,0.5
"Yellowknife, Northwest Territories","Alcoholic beverages, tobacco products and recreational cannabis",171.7,176.8,177.3,0.3,3.3
"Yellowknife, Northwest Territories",All-items excluding food,131.8,134.8,134.6,-0.1,2.1
"Yellowknife, Northwest Territories",All-items excluding food and energy,126.9,129.2,128.9,-0.2,1.6
"Yellowknife, Northwest Territories","All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",131.9,134.3,134.2,-0.1,1.7
"Yellowknife, Northwest Territories",All-items excluding energy,129.6,131.5,131.3,-0.2,1.3
"Yellowknife, Northwest Territories",All-items excluding gasoline,133.2,135.7,135.4,-0.2,1.7
"Yellowknife, Northwest Territories",Energy,172.5,184.9,186.9,1.1,8.3
"Yellowknife, Northwest Territories",Goods,127,129,128.9,-0.1,1.5
"Yellowknife, Northwest Territories",Durable goods,94.9,95.5,95.4,-0.1,0.5
"Yellowknife, Northwest Territories",Semi-durable goods,104.1,105.4,104.9,-0.5,0.8
"Yellowknife, Northwest Territories",Non-durable goods,151.3,154.8,154.9,0.1,2.4
"Yellowknife, Northwest Territories",Services ,139.6,142.9,142.7,-0.1,2.2
"Iqaluit, Nunavut",All-items,124.6,127.7,128.8,0.9,3.4
"Iqaluit, Nunavut",Food,..,..,..,...,...
"Iqaluit, Nunavut",Shelter,..,..,..,...,...
"Iqaluit, Nunavut","Household operations, furnishings and equipment",..,..,..,...,...
"Iqaluit, Nunavut",Clothing and footwear,..,..,..,...,...
"Iqaluit, Nunavut",Transportation,..,..,..,...,...
"Iqaluit, Nunavut",Health and personal care,..,..,..,...,...
"Iqaluit, Nunavut","Recreation, education and reading",..,..,..,...,...
"Iqaluit, Nunavut","Alcoholic beverages, tobacco products and recreational cannabis",..,..,..,...,...
"Iqaluit, Nunavut",All-items excluding food,..,..,..,...,...
"Iqaluit, Nunavut",All-items excluding food and energy,..,..,..,...,...
"Iqaluit, Nunavut","All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",..,..,..,...,...
"Iqaluit, Nunavut",All-items excluding energy,..,..,..,...,...
"Iqaluit, Nunavut",All-items excluding gasoline,..,..,..,...,...
"Iqaluit, Nunavut",Energy,..,..,..,...,...
"Iqaluit, Nunavut",Goods,..,..,..,...,...
"Iqaluit, Nunavut",Durable goods,..,..,..,...,...
"Iqaluit, Nunavut",Semi-durable goods,..,..,..,...,...
"Iqaluit, Nunavut",Non-durable goods,..,..,..,...,...
"Iqaluit, Nunavut",Services ,..,..,..,...,...